emp_title,emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest
group leader,10,TN,MORTGAGE,1.78,54000,4,139382,1840,10000,5000,7.35,155.19,A,4344.1,143.01
assistant manager,0,NC,RENT,11.11,54000,7,27224,16500,7800,2000,6.72,61.5,A,1509.42,55.69
senior designer,2,FL,RENT,15.33,62000,17,151681,104187,53600,20575,7.96,644.37,A,19555.85,278.69
owner,10,CA,RENT,13.64,58000,5,40240,23016,1900,5000,7.34,155.17,A,0,72.89
sr loan processor,2,AZ,MORTGAGE,9.6,80000,5,293060,10662,12500,10000,7.34,310.33,A,9247.92,199.3
tax auditor,1,CA,RENT,8.54,53000,16,55768,6323,27500,10000,7.97,313.23,A,8749.42,277.94
customer service,2,CA,OWN,19.64,50000,13,62786,9419,19200,3600,7.35,111.74,A,3146.02,101.78
network engineer,9,GA,MORTGAGE,11.91,92000,10,545193,48100,20700,35000,6.72,1076.23,A,30549.28,897.76
physical therapist,0,WA,MORTGAGE,17.29,118000,11,219423,77113,28000,40000,7.35,1241.5,A,35977.23,926.9
assistant business agent,10,MD,MORTGAGE,15.16,108000,19,629894,71835,116000,35000,7.35,698.84,A,33044.26,811.04
partner,10,WA,MORTGAGE,7.54,1050000,8,1794551,468948,88000,40000,6.72,1229.97,A,35943.71,833.72
doorman,10,NV,MORTGAGE,14.17,85000,15,415809,43024,40000,23000,6.72,452.4,A,21694.69,482.82
software consultant,10,IL,MORTGAGE,5.9,93500,10,230800,13831,39000,22000,5.32,662.53,A,19724.94,358.8
sales,10,CA,MORTGAGE,17.69,220000,11,357216,147555,66500,20400,6.08,621.35,A,17783.67,483.53
medical doctor,10,CA,MORTGAGE,20.53,225000,13,1009652,186301,11500,40000,5.31,1204.42,A,37940.61,337.65
product manager,10,MI,RENT,19.96,87000,9,108900,56226,25600,19000,6.72,584.24,A,17072.52,402.39
maintenance,5,CA,RENT,21.53,34000,6,33038,21396,3200,3000,7.96,93.96,A,2776.34,56.89
owner,0,FL,RENT,9.65,72000,10,130126,93651,48100,12000,7.35,372.45,A,10793.17,278.07
president,8,FL,MORTGAGE,58.06,35000,10,294177,76821,24100,18000,7.96,563.73,A,17108.39,243.81
equipment operator,10,PA,MORTGAGE,12.08,65000,6,226809,30877,7400,10000,6.72,307.5,A,8728.34,265.65
hr generalist,6,AZ,MORTGAGE,13.2,59000,5,125014,21796,11800,7200,6.08,219.3,A,6276.59,170.66
bakery,3,MO,OWN,3.56,30000,8,9840,4030,1000,20000,7.96,626.36,A,18509.07,379.31
logistics spealist,10,OK,MORTGAGE,36.19,160482,26,780142,192084,54900,12000,7.96,375.82,A,11105.43,227.58
driver,8,NJ,MORTGAGE,20.16,75000,23,365595,30262,49600,15000,7.34,465.5,A,13871.88,262.26
owner,10,CO,MORTGAGE,7.73,120000,10,617155,36296,60500,20000,6.07,609.08,A,18468.54,282.29
asst project coordinator,2,KS,OWN,23.16,40000,8,88949,85622,17000,18000,7.34,558.6,A,17100.26,210.12
underwriting service specialist,2,NY,RENT,26.69,42000,14,45390,27333,6800,9000,6.72,276.75,A,7855.5,235.89
supervisor,4,CA,RENT,20.44,54600,4,41342,12875,9600,13000,7.96,407.14,A,12030.87,229.3
agent,10,CA,MORTGAGE,18.19,95000,17,390506,58757,46600,10000,7.34,310.33,A,9247.93,174.84
risk manager,3,AK,MORTGAGE,42.52,89000,14,414662,160925,84400,30000,7.35,931.13,A,26217.04,848.19
admin assistant,0,AZ,MORTGAGE,3.23,37500,3,211040,2529,6000,18000,7.34,558.6,A,16646.25,314.71
public health sanitarian ii,10,NY,RENT,4.47,80000,15,66900,4141,57400,19200,6.08,584.8,A,16737.57,448.6
lieutenant,10,FL,MORTGAGE,20.7,72000,7,60651,40365,22800,25000,7.97,506.56,A,23274.64,796.37
maintenance mechanic,0,MA,RENT,18.03,48000,5,26100,8583,5600,10000,7.97,313.23,A,8749.43,311.15
pharmacy manager,5,TX,OWN,11.19,189000,17,599924,335417,82300,22000,7.35,682.83,A,19225.82,630.99
maintenance,2,FL,RENT,30.9,44200,6,64167,40255,11800,10000,7.34,310.33,A,9247.92,187.07
production tempering assembly,4,IN,OWN,1.64,38000,11,29300,1030,19400,18000,7.97,563.81,A,15599,560.08
ceo,8,CA,OWN,22.1,110000,16,590365,109960,93424,24000,7.97,751.75,A,20998.65,746.77
city carrier,10,CA,MORTGAGE,18.35,98000,15,437168,95641,49900,18000,6.08,548.25,A,16157.86,344.78
manager ii,10,CA,MORTGAGE,9.53,130000,10,333400,21579,46900,14000,6.08,426.42,A,0,218.61
owner,10,FL,MORTGAGE,18.58,110000,24,308178,38026,67700,25000,7.34,775.82,A,23119.84,437.11
table games dealer,2,CA,RENT,14.05,100000,8,59846,33396,16000,27000,7.96,845.59,A,24987.24,512.07
director of pfs,2,TX,RENT,17.8,79500,12,155991,115711,38300,12000,6.72,369,A,11090.2,192.72
deputy,10,KS,MORTGAGE,38.22,88000,8,199858,137832,14300,7300,6.08,222.35,A,6552.89,139.82
dentist,10,NY,RENT,5.44,250000,12,109785,35675,58500,40000,7.34,1241.32,A,38000.6,466.93
director of sales,2,GA,MORTGAGE,5.62,430000,10,202701,104744,69000,12000,5.31,361.33,A,11071.21,148.12
business development associate,0,CA,RENT,1.97,70000,3,45000,4812,42000,3000,6.08,91.38,A,2692.96,55.95
assistant registrar-graduation,10,SC,RENT,15.38,48000,6,33465,24690,7500,8500,7.96,266.21,A,7866.34,157.45
director of technology,2,OH,MORTGAGE,20.25,110000,16,323483,65269,32600,6000,7.35,186.23,A,5243.39,172.09
accounting,10,NY,RENT,15.23,42000,6,52441,51233,0,14500,7.96,454.11,A,13419.08,275
manager,8,WA,RENT,9.66,54000,8,80294,29439,50100,12000,6.07,365.45,A,11081.12,173.42
professor of english,10,CO,MORTGAGE,8.99,90000,14,350016,36926,26800,12000,6.71,368.94,A,11089.41,191.76
owner,10,UT,MORTGAGE,7.04,75000,6,334116,15404,24200,10000,6.08,304.59,A,8717.45,237.02
lead engineer,10,WA,MORTGAGE,34.96,175000,24,814030,330655,220900,36000,5.32,1084.14,A,31336.13,746.19
owner/operator,10,AZ,MORTGAGE,13.22,156000,14,795502,75510,114100,40000,7.35,1241.5,A,35977.23,926.9
asset management accountant,2,MA,MORTGAGE,15.66,87812,11,508144,49769,73500,35000,7.34,698.68,A,33537.3,619.07
analyst,4,CT,MORTGAGE,6.7,350000,13,561448,78874,44900,40000,7.97,1252.91,A,34997.78,1244.62
primary nurse case admin,2,TX,MORTGAGE,15.31,70000,14,278923,33756,71700,24000,6.07,730.89,A,21543.48,450.85
manager,10,OR,RENT,7.37,160000,6,63266,43937,0,30000,7.35,931.13,A,27744.1,512.99
wood work and painting,10,VA,RENT,4.31,42000,3,36000,6880,30000,21000,7.34,651.69,A,19420.66,367.17
president,9,AZ,MORTGAGE,38.3,110000,15,386384,94425,18100,30000,7.96,939.54,A,27765.09,484.21
msw social worker,3,CA,RENT,6.31,58000,10,76600,7326,56100,20000,7.34,399.25,A,19164.16,353.75
sr info security analyst,10,MN,MORTGAGE,17.68,104000,16,216477,45508,52600,39000,5.31,1174.31,A,35981.47,544.68
human resources director,5,CA,RENT,13,53456,9,53373,44867,4500,19000,7.35,589.72,A,16604.1,544.94
owner,10,VA,MORTGAGE,204.13,12000,13,406818,86236,57300,29000,7.35,579.04,A,26968.19,839.71
senior detention officer,10,NV,MORTGAGE,13.98,95000,14,325783,60021,25500,40000,7.96,1252.72,A,37018.15,740.93
enterprise support manager,7,CA,RENT,8.51,166088,6,129010,49468,108800,25000,7.35,775.94,A,21847.54,717.03
electrician,4,VA,MORTGAGE,47.67,65000,12,172218,100661,43200,30000,7.34,930.99,A,28500.44,380.78
civil engineer 2,10,NY,OWN,8.16,95543,11,340923,19323,44000,36000,6.08,1096.5,A,32315.72,689.56
division chief,10,CA,MORTGAGE,5.7,265000,16,819496,56832,42500,35000,7.35,698.84,A,33044.26,903.94
pricing strategist,1,FL,MORTGAGE,7.5,120000,12,446752,23630,82100,18000,5.32,542.07,A,16138.59,301.55
owner,2,FL,RENT,20.73,120000,13,159187,68568,78600,10000,6.72,307.5,A,8728.34,262.11
software engineer,10,WA,RENT,12.5,128000,23,91800,51476,60400,40000,6.72,1229.97,A,34853.02,838.09
service delivery manager,1,MO,MORTGAGE,6.06,113000,6,237948,16960,26800,20000,6.07,609.08,A,18981.6,193.02
farm manager,3,OR,MORTGAGE,4.68,80000,7,394523,5002,10700,10000,7.97,313.23,A,9002.87,251.36
vp finance,2,NY,MORTGAGE,9.95,200000,12,643718,44724,134900,15000,5.32,451.73,A,13056.7,310.92
teacher,10,MA,OWN,25.94,55523.24,6,63500,41797,54000,10000,7.34,310.33,A,9247.93,174.84
teacher,10,WY,MORTGAGE,18.72,90000,9,479527,117620,45500,30000,7.34,598.87,A,28746.25,554.42
financial director,10,FL,RENT,29.67,41500,10,64775,21319,12400,9000,6.08,274.13,A,8078.91,169.35
deputy sheriff,5,CA,RENT,7.07,56446,6,26470,8690,17300,2400,7.34,74.48,A,2219.5,41.96
speech pathologist,0,AR,MORTGAGE,10.32,68000,6,186869,51250,23000,11200,6.72,344.4,A,10063.78,237.2
software consultant,10,FL,RENT,2.83,130000,8,331197,169125,54500,40000,7.34,798.49,A,38328.35,707.51
directional driller,1,CO,MORTGAGE,8.78,160000,11,787370,38820,35900,40000,7.97,1252.91,A,34997.78,1226.91
truck driver,10,TX,MORTGAGE,14.54,60000,9,205329,17428,6700,20000,6.07,609.08,A,18468.54,289.04
rn-icu,0,AZ,MORTGAGE,6.03,75000,5,203900,16674,36000,6500,7.35,201.75,A,5796.27,150.62
teacher,10,NV,RENT,31.72,60000,7,125899,85226,21700,11000,6.08,335.05,A,9589.19,260.72
principal consultant,7,CA,MORTGAGE,6.12,150000,13,614727,41467,82700,16000,6.72,491.99,A,14376.87,338.86
instructional support teacher,10,GA,MORTGAGE,23.91,90000,13,305438,47197,39500,10000,7.97,313.23,A,8749.43,306.72
specialist,7,KY,OWN,22.06,100000,14,216800,41381,54800,7500,7.34,232.75,A,6935.94,131.13
nurse,4,VA,MORTGAGE,41.83,55000,23,382807,77981,31200,40000,7.34,1241.32,A,35726.63,560.21
table games dealer,3,NV,MORTGAGE,18.31,55000,10,81878,30342,49800,10000,7.97,313.23,A,0,170.95
consultant,2,PA,RENT,29.72,77500,12,113403,44305,48700,14000,7.34,434.46,A,12947.11,244.78
grant specialist,5,VA,RENT,11.86,59390,13,67237,67615,13200,9000,7.34,279.3,A,8550.13,101.39
director of nursing,10,IN,MORTGAGE,15.94,86000,15,376430,16747,54500,18000,6.72,553.49,A,15711.06,465.07
director of national accounts,3,PA,MORTGAGE,23.66,135000,14,251116,109072,96100,20000,5.32,602.3,A,17408.96,408.64
owner,1,CA,RENT,10.78,300000,7,134757,66766,23800,28000,6.71,860.86,A,25875.28,447.42
accounting supervisor,10,IN,OWN,4.25,37000,7,19900,4154,12600,10000,6.72,307.5,A,8985.52,211.79
regional sales manager,0,TX,MORTGAGE,14.66,275000,23,603684,113274,178100,19000,7.35,379.37,A,17917.42,447.77
assistant manager,5,CO,RENT,1.52,20000,4,10800,477,10800,3500,7.35,108.64,A,3058.61,98.95
realtor associate,5,FL,OWN,18.95,48000,16,81700,20890,37700,8000,7.35,248.3,A,6991.22,229.45
rn,3,NC,MORTGAGE,19.26,78000,12,124367,45796,17800,10000,7.96,313.18,A,9254.54,189.66
server,2,AL,MORTGAGE,13.41,23000,7,156400,5090,7000,10000,6.08,304.59,A,8976.56,191.54
production associate,0,OH,MORTGAGE,8.78,31300,5,89487,8759,16000,4000,5.32,120.46,A,3586.35,67.01
ceo,10,NE,MORTGAGE,19.25,375000,14,619318,191738,101000,30000,6.72,922.48,A,26956.63,618.55
truck driver,5,WA,RENT,1,60000,2,2300,822,2300,6000,7.96,187.91,A,5702.8,73.31
consultant,0,VA,RENT,0.86,70000,3,8500,262,7500,1000,7.97,31.33,A,900.26,24.69
sales,1,CA,MORTGAGE,8.52,500000,9,1529377,112880,48800,12950,7.35,401.94,A,0,182.84
assembly technician,5,PA,MORTGAGE,4.73,70000,4,172310,8232,16600,2500,6.72,76.88,A,2246.36,58.56
branch manager,10,NY,OWN,15.07,180000,6,643852,36099,15800,7200,7.34,223.44,A,6658.5,125.88
atm technician,1,NJ,RENT,11.88,60000,8,86257,34602,41500,35000,6.07,1065.88,A,33217.83,325.98
supervisor,2,TX,RENT,26.01,55000,11,72705,36803,18600,8400,7.97,263.11,A,7349.54,261.37
content marketing specialist,0,NY,RENT,28.84,58500,20,135302,76380,29600,7000,5.31,210.78,A,6458.19,86.4
machinen operarto cnc,10,CA,RENT,6.86,60000,6,54175,6316,12100,20400,6.07,621.26,A,19361.23,248.47
teacher,10,FL,RENT,24.76,48000,6,56435,41611,17300,11000,7.97,344.55,A,9624.39,342.27
service manager,10,AL,OWN,18.74,60000,18,78385,33741,36000,10000,5.32,301.15,A,8704.48,207.27
investigator,10,WA,RENT,16.71,72600,11,52246,28724,8300,3500,6.72,107.63,A,3054.89,98.27
sales,7,UT,RENT,4.98,33000,8,51511,4663,41500,10000,6.07,304.54,A,8778.48,138.73
network technician,10,NJ,RENT,10.24,101000,10,104660,32772,33300,21000,5.31,632.32,A,18828.06,351.14
assistant manager,10,CA,MORTGAGE,5.93,55000,6,228900,13452,11800,13000,7.35,403.49,A,12022.44,227.6
customer service,1,WA,MORTGAGE,22.81,48000,22,357429,23366,26700,4000,6.07,121.82,A,3693.7,57.81
firefighter/paramedic,10,CA,MORTGAGE,25.38,206000,28,603664,203490,47700,35000,7.97,1096.29,A,31510.1,879.76
parts specialist,10,WA,MORTGAGE,17.64,70000,5,251365,43258,17000,12000,7.96,375.82,A,11105.43,222.28
senior quality analyst,9,IN,MORTGAGE,24.99,91000,23,307277,105205,60500,15000,7.35,465.57,A,12832.7,426.58
shop forman,6,TX,MORTGAGE,23.56,60000,11,256054,71234,19100,2500,7.35,77.6,A,2184.72,71.7
active duty,10,CA,MORTGAGE,7.6,60000,18,506509,14097,59300,2200,6.08,67.01,A,1917.92,52.97
sr systems engineer,3,PA,MORTGAGE,16.51,92000,8,238600,36464,27200,12000,6.07,365.45,A,11081.12,173.42
and assist,10,NY,MORTGAGE,26.89,50000,10,157535,32399,38200,20000,6.07,609.08,A,18468.54,282.29
office manager,10,CT,MORTGAGE,35.38,51800,12,126947,85074,26000,7000,7.97,219.26,A,6302.01,172.85
forge fabrucator,4,MI,OWN,15.12,63000,9,60600,19702,39300,6000,6.71,184.47,A,5544.7,85.82
customer service rep,2,NY,RENT,2,30000,2,8300,384,8300,12000,6.71,368.94,A,11089.41,187.28
attorney,6,VA,MORTGAGE,12.9,162000,12,538978,69263,52000,20000,5.31,602.21,A,18452.04,246.87
loan officer assistant,0,VA,RENT,1.85,60000,8,11200,1473,3500,10000,7.35,310.38,A,8739,280.69
analyst,1,NJ,MORTGAGE,23.71,100000,15,319690,129595,68200,15000,5.32,451.73,A,12957.83,305.15
zone manager,3,IL,MORTGAGE,9.88,120000,14,84600,74643,29400,28000,7.97,877.04,A,24498.43,871.23
management & program analyst,7,MD,MORTGAGE,11.85,151500,17,633067,102668,37500,40000,5.31,1204.42,A,36904.08,505.54
executive chef,4,FL,MORTGAGE,17.52,82000,15,335803,32922,34300,20000,7.97,626.46,A,18005.73,551.42
account supporr,6,WI,MORTGAGE,21.53,37400,9,154632,30121,13700,10000,7.34,199.63,A,9441.04,235.48
educator,10,CA,MORTGAGE,13.01,98000,7,55500,21282,22000,4800,6.72,147.6,A,4313.05,101.66
chief nursing officer,0,PA,RENT,7.11,140000,17,124591,32219,55100,40000,6.08,1218.33,A,34869.96,927.83
otr driver,1,GA,RENT,23.09,80000,11,120931,90621,18000,10000,5.32,301.15,A,8965.88,164.57
pharmacist,2,MA,RENT,15.86,100000,18,144700,88613,53300,20000,5.32,602.3,A,17931.76,329.14
owner,10,OH,MORTGAGE,29.26,116000,24,493047,111553,98800,20000,7.35,620.75,A,17988.61,463.44
warehouse,10,PA,MORTGAGE,12.73,110000,7,189602,72399,11000,9600,6.08,292.4,A,8617.52,183.88
receptionist,10,CA,RENT,11.3,80000,12,52623,34794,10300,10000,7.34,310.33,A,9247.93,154.96
director of sales,2,CA,RENT,11.63,175000,19,217443,115849,109600,25000,6.08,761.46,A,22441.45,529.52
nurse practitioner,3,NC,RENT,4.1,65000,4,20500,12101,8000,15000,7.97,469.84,A,13504.32,370.4
rv consultant specialist,5,TX,MORTGAGE,5.1,65000,5,152343,11227,26800,4000,5.32,120.46,A,0,56.65
director of operations - women's basketb,4,GA,RENT,27.87,48000,18,115031,92950,23300,12000,6.71,368.94,A,11089.41,187.28
telecom engineer,10,CA,RENT,7.16,98000,18,123198,14423,61300,2400,6.08,73.1,A,2154.38,45.97
senior controller,10,GA,MORTGAGE,1.31,125000,7,197600,9381,31200,25000,6.72,768.74,A,21763.44,513.51
public health nurse senior,10,VA,MORTGAGE,32.51,68000,12,154465,76428,47000,3000,6.08,91.38,A,2615.22,69.59
customer service,10,MO,OWN,16.43,62000,18,249725,53781,61600,6000,5.31,180.67,A,5535.59,74.06
laborer,3,PA,MORTGAGE,24.8,41000,7,149165,49276,0,14500,7.35,289.52,A,13689.76,341.92
home attender,1,NY,RENT,37.45,20000,6,40534,20250,10000,6000,7.35,186.23,A,5396.56,136.58
implementation consultant,10,CA,MORTGAGE,18.75,137200,7,500018,68509,28400,35000,6.72,1076.23,A,31449.39,741.24
attorney,10,CA,OWN,8.84,90000,20,538300,23755,124300,15000,5.32,451.73,A,13448.8,251.29
sales account executive,0,TX,RENT,3.76,45000,2,8500,5627,8500,6000,6.08,182.75,A,5230.49,142.21
legal asst,10,NY,MORTGAGE,22.08,45000,13,172405,43081,25900,8500,7.96,266.21,A,7866.34,157.45
nurse assistant,5,NC,MORTGAGE,21.41,70000,6,279995,52244,14800,12000,6.07,365.45,A,11081.12,173.42
sales,7,NC,MORTGAGE,6.21,350000,13,541617,81103,81100,35000,6.08,1066.04,A,31418.07,670.41
engineer,2,CO,MORTGAGE,2.09,70000,5,327900,4459,61900,15000,5.31,451.66,A,13839.02,185.15
teacher,2,NY,RENT,31.88,50000,15,221481,173984,51700,6000,6.08,182.75,A,5230.49,142.21
cfo,2,PA,MORTGAGE,20.95,177000,10,488273,184435,71900,28000,7.96,876.91,A,26613.06,342.12
logistics management specialist,10,TX,OWN,16.54,100000,5,55685,43346,27300,20000,7.35,620.75,A,17478.04,573.62
flight medic,5,PA,MORTGAGE,12.98,160000,18,520250,74978,25300,12000,6.07,365.45,A,10771.72,225.43
branch manager,0,MD,RENT,10.61,75000,6,37850,17263,19600,2800,7.97,87.71,A,2520.78,70.38
senior developer,10,VA,MORTGAGE,17.28,130000,10,800792,234410,22800,10000,7.97,313.23,A,9254.62,207.6
formulation scientist,2,OH,RENT,18.65,89000,10,114770,52475,46100,19600,5.32,590.25,A,17060.8,406.26
