Film,Year,Rating,Number_Ratings,Length_Minutes,
The Personal History Adventures Experience & Observation of David Copperfield the Younger,1935,7.6,2243,130,
Alice Adams,1935,7,2167,99,
Sylvia Scarlett,1935,6.3,2144,95,
Les Miserables,1935,7.7,2100,108,
G' Men,1935,7.2,2061,85,
Ruggles of Red Gap,1935,7.8,1930,90,
A Midsummer Night's Dream,1935,7,1809,133,
Roberta,1935,7.1,1709,106,
Gold Diggers of 1935,1935,7.5,1560,95,
The Devil Is a Woman,1935,7.2,1539,75,
The Lives of a Bengal Lancer,1935,7.4,1473,109,
Modern Times,1936,8.6,84747,87,
My Man Godfrey,1936,8.1,12867,94,
Mr. Deeds Goes to Town,1936,8,12123,115,
Sabotage,1936,7.1,8663,76,
The Petrified Forest,1936,7.6,7590,82,
Swing Time,1936,7.7,6989,103,
Fury,1936,7.9,6700,92,
After the Thin Man,1936,7.6,5674,112,
Dodsworth,1936,8.1,5197,101,
Tell Your Children,1936,3.6,5083,63,
Secret Agent,1936,6.7,4971,86,
Camille,1936,7.5,4537,109,
Libeled Lady,1936,7.8,4247,98,
Things to Come,1936,6.7,3802,100,
The Great Ziegfeld,1936,6.9,3543,176,
San Francisco,1936,7.3,3154,115,
Dracula's Daughter,1936,6.4,2951,71,
Partie de campagne,1936,7.8,2727,40,
The Charge of the Light Brigade,1936,7.1,2673,115,
Follow the Fleet,1936,7.3,2411,110,
Tarzan Escapes,1936,6.9,2181,89,
Show Boat,1936,7.7,1775,113,
Wife vs. Secretary,1936,7,1755,88,
Les bas-fonds,1936,7.6,1634,90,
Snow White and the Seven Dwarfs,1937,7.7,89069,83,
La grande illusion,1937,8.2,20422,114,
The Awful Truth,1937,7.9,10824,91,
A Day at the Races,1937,7.6,8722,111,
Lost Horizon,1937,7.8,7784,132,
Captains Courageous,1937,8,5462,115,
Young and Innocent,1937,7,5208,80,
Stage Door,1937,7.8,4729,92,
Way Out West,1937,7.7,4715,64,
A Star Is Born,1937,7.6,4337,111,
Topper,1937,7.4,3991,97,
Shall We Dance,1937,7.6,3886,109,
Pépé le Moko,1937,7.7,3714,94,
Nothing Sacred,1937,7.4,3667,77,
Dead End,1937,7.5,3557,93,
The Life of Emile Zola,1937,7.4,3418,116,
Make Way for Tomorrow,1937,8.1,3285,91,
You Only Live Once,1937,7.5,2874,86,
The Good Earth,1937,7.8,2839,138,
The Prisoner of Zenda,1937,7.8,2678,101,
Stella Dallas,1937,7.5,2384,106,
Heidi,1937,7.2,2175,88,
Marked Woman,1937,7.3,1934,96,
Kid Galahad,1937,7.3,1602,102,
Bringing Up Baby,1938,8.1,36820,102,
The Adventures of Robin Hood,1938,8,33144,102,
The Lady Vanishes,1938,8,28255,96,
You Can't Take It with You,1938,8,14046,126,
Angels with Dirty Faces,1938,8,12919,97,
Holiday,1938,7.9,8361,95,
Aleksandr Nevskiy,1938,7.7,6779,112,
Jezebel,1938,7.6,6769,104,
Pygmalion,1938,7.9,4785,96,
Le quai des brumes,1938,7.7,4519,91,
La bête humaine,1938,7.8,3665,100,
A Christmas Carol,1938,7.4,3165,69,
Boys Town,1938,7.3,3154,96,
Room Service,1938,6.7,2856,78,
Olympia 1. Teil - Fest der Völker,1938,8,2396,121,
Carefree,1938,7.1,1974,83,
Block-Heads,1938,7.7,1796,57,
Marie Antoinette,1938,7.5,1770,149,
Vivacious Lady,1938,7.2,1696,90,
Olympia 2. Teil - Fest der Schönheit,1938,7.9,1691,96,
Bluebeard's Eighth Wife,1938,7.3,1647,85,
The Dawn Patrol,1938,7.6,1547,103,
Algiers,1938,6.9,1387,96,
The Amazing Dr. Clitterhouse,1938,7,1229,87,
The Wizard of Oz,1939,8.1,200399,102,
Gone with the Wind,1939,8.2,153651,223,
Mr. Smith Goes to Washington,1939,8.3,55975,129,
Stagecoach,1939,7.9,23727,96,
La règle du jeu,1939,8.1,16075,110,
Ninotchka,1939,7.9,11259,110,
Wuthering Heights,1939,7.7,10336,104,
The Women,1939,7.9,8015,133,
Gunga Din,1939,7.5,7294,96,
The Roaring Twenties,1939,7.9,7216,106,
Only Angels Have Wings,1939,7.7,6851,121,
Goodbye Mr. Chips,1939,7.8,6765,114,
The Hunchback of Notre Dame,1939,7.9,6460,117,
Destry Rides Again,1939,7.7,6336,94,
The Hound of the Baskervilles,1939,7.6,5984,80,
Dark Victory,1939,7.6,5870,104,
Jamaica Inn,1939,6.3,4983,108,
Son of Frankenstein,1939,7.1,4822,99,
The Adventures of Sherlock Holmes,1939,7.6,3970,85,
Young Mr. Lincoln,1939,7.7,3935,100,
The Four Feathers,1939,7.6,3648,129,
Another Thin Man,1939,7.4,3613,103,
Beau Geste,1939,7.8,3564,112,
Of Mice and Men,1939,7.8,3491,106,
At the Circus,1939,6.9,3488,87,
The Great Dictator,1940,8.5,82438,125,
Rebecca,1940,8.3,63026,130,
Fantasia,1940,7.8,54954,124,
Pinocchio,1940,7.6,53833,88,
The Grapes of Wrath,1940,8.2,43674,129,
The Philadelphia Story,1940,8.1,41214,112,
His Girl Friday,1940,8,33343,92,
The Shop Around the Corner,1940,8.1,15480,99,
Foreign Correspondent,1940,7.6,10256,120,
The Thief of Bagdad,1940,7.6,7351,106,
The Letter,1940,7.7,6395,95,
The Mark of Zorro,1940,7.6,6099,94,
The Sea Hawk,1940,7.8,5649,109,
My Favorite Wife,1940,7.4,5493,88,
Waterloo Bridge,1940,7.8,5334,108,
Pride and Prejudice,1940,7.5,4936,118,
The Bank Dick,1940,7.4,4507,72,
They Drive by Night,1940,7.3,4336,95,
Go West,1940,6.8,3138,80,
The Westerner,1940,7.5,2661,100,
The Mortal Storm,1940,7.9,2511,100,
Road to Singapore,1940,7,2480,85,
All This and Heaven Too,1940,7.6,2478,141,
Night Train to Munich,1940,7.3,2136,90,
The Long Voyage Home,1940,7.1,2109,105,
Citizen Kane,1941,8.5,221686,119,
The Maltese Falcon,1941,8.2,83211,100,
Dumbo,1941,7.3,54208,64,
Suspicion,1941,7.5,17901,99,
Sullivan's Travels,1941,8.2,13996,90,
How Green Was My Valley,1941,7.8,12200,118,
The Wolf Man,1941,7.4,12044,70,
The Lady Eve,1941,8,11744,94,
Sergeant York,1941,7.8,10219,134,
High Sierra,1941,7.6,9011,100,
Meet John Doe,1941,7.7,7405,122,
Ball of Fire,1941,7.8,6219,111,
The Little Foxes,1941,8.1,5824,116,
Mr. & Mrs. Smith,1941,6.5,5811,95,
Dr. Jekyll and Mr. Hyde,1941,6.9,4985,113,
Penny Serenade,1941,7.1,3547,119,
49th Parallel,1941,7.5,3489,123,
They Died with Their Boots On,1941,7.3,3482,140,
Here Comes Mr. Jordan,1941,7.7,3347,94,
The Big Store,1941,6.5,3142,83,
Shadow of the Thin Man,1941,7.2,2963,97,
All That Money Can Buy,1941,7.8,2922,107,
Buck Privates,1941,7.3,2710,84,
Man Hunt,1941,7.4,2334,105,
That Hamilton Woman,1941,7.3,2171,128,
Casablanca,1942,8.6,286343,102,
Bambi,1942,7.4,60105,70,
To Be or Not to Be,1942,8.2,14741,99,
The Magnificent Ambersons,1942,7.9,13664,88,
Saboteur,1942,7.3,13258,109,
Cat People,1942,7.4,9532,73,
Yankee Doodle Dandy,1942,7.8,8932,126,
Now Voyager,1942,8,8790,117,
Mrs. Miniver,1942,7.7,8576,134,
The Palm Beach Story,1942,7.8,6650,88,
Holiday Inn,1942,7.6,6526,100,
The Pride of the Yankees,1942,7.8,6329,128,
Woman of the Year,1942,7.3,5311,114,
This Gun for Hire,1942,7.6,4601,81,
Random Harvest,1942,7.9,4378,126,
The Talk of the Town,1942,7.7,4035,118,
The Man Who Came to Dinner,1942,7.7,3861,112,
Road to Morocco,1942,7.3,3492,82,
The Major and the Minor,1942,7.6,3468,100,
Sherlock Holmes and the Secret Weapon,1942,6.8,3253,80,
I Married a Witch,1942,7.1,3100,77,
In Which We Serve,1942,7.4,2994,115,
The Ghost of Frankenstein,1942,6,2844,67,
The Glass Key,1942,7.2,2828,85,
Kings Row,1942,7.7,2403,127,
Shadow of a Doubt,1943,8,36197,108,
The Ox-Bow Incident,1943,8.1,13052,75,
The Life and Death of Colonel Blimp,1943,8,7952,163,
I Walked with a Zombie,1943,7.3,5927,69,
Heaven Can Wait,1943,7.5,5561,112,
Le corbeau,1943,7.8,5254,92,
Vredens dag,1943,7.8,5230,110,
Sahara,1943,7.6,4882,97,
For Whom the Bell Tolls,1943,7,4784,170,
Jane Eyre,1943,7.6,4627,97,
Frankenstein Meets the Wolf Man,1943,6.5,4237,74,
The Song of Bernadette,1943,7.6,3497,156,
Phantom of the Opera,1943,6.5,3297,92,
Lassie Come Home,1943,7.1,3114,89,
The More the Merrier,1943,8,3072,104,
Destination Tokyo,1943,7.2,2780,135,
The Seventh Victim,1943,7,2766,71,
Five Graves to Cairo,1943,7.5,2734,96,
The Leopard Man,1943,6.9,2504,66,
Sherlock Holmes Faces Death,1943,7.2,2490,68,
The Outlaw,1943,5.5,2383,116,
Son of Dracula,1943,6.1,2376,80,
Sugata Sanshirô,1943,6.9,2299,79,
Double Indemnity,1944,8.5,68245,107,
Arsenic and Old Lace,1944,8.1,46480,118,
Laura,1944,8.1,23223,88,
To Have and Have Not,1944,8,18315,100,
Lifeboat,1944,7.8,15568,97,
Gaslight,1944,7.8,12890,114,
Meet Me in St. Louis,1944,7.6,11909,113,
The Woman in the Window,1944,7.7,7141,107,
Murder My Sweet,1944,7.6,6579,95,
The Three Caballeros,1944,6.6,6153,71,
Going My Way,1944,7.4,5419,126,
Ivan Groznyy,1944,7.6,5330,95,
The Miracle of Morgan's Creek,1944,7.9,4722,98,
The Uninvited,1944,7.5,4315,99,
National Velvet,1944,7.4,3945,123,
The Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France,1944,7.3,3742,137,
Die Feuerzangenbowle,1944,7.9,3389,97,
Thirty Seconds Over Tokyo,1944,7.5,3291,138,
Ministry of Fear,1944,7.2,3267,86,
The Curse of the Cat People,1944,6.9,3230,70,
Mr. Skeffington,1944,7.7,3207,146,
House of Frankenstein,1944,6.1,3150,71,
The Scarlet Claw,1944,7.6,2826,74,
Since You Went Away,1944,7.6,2819,172,
A Canterbury Tale,1944,7.6,2785,95,
Spellbound,1945,7.6,25336,111,
Brief Encounter,1945,8.1,21024,86,
The Lost Weekend,1945,8.1,19328,101,
Mildred Pierce,1945,8,12337,111,
Roma città aperta,1945,8.1,12053,103,
Les enfants du paradis,1945,8.3,11659,163,
Detour,1945,7.4,7568,67,
Scarlet Street,1945,7.9,7213,103,
The Picture of Dorian Gray,1945,7.6,7161,110,
And Then There Were None,1945,7.6,6514,97,
Dead of Night,1945,7.7,5856,103,
Leave Her to Heaven,1945,7.7,5682,110,
The Spiral Staircase,1945,7.6,5333,83,
The Body Snatcher,1945,7.4,4771,77,
I Know Where I'm Going!',1945,7.7,4714,91,
Anchors Aweigh,1945,7.1,4620,143,
They Were Expendable,1945,7.3,4575,135,
A Tree Grows in Brooklyn,1945,8.1,4445,129,
The Bells of St. Mary's,1945,7.4,4269,126,
Christmas in Connecticut,1945,7.4,3359,102,
The Woman in Green,1945,6.8,3078,68,
Objective Burma!,1945,7.4,2837,142,
Blithe Spirit,1945,7.1,2834,96,
The Thin Man Goes Home,1945,7.3,2776,100,
The House of Fear,1945,7.5,2561,69,
It's a Wonderful Life,1946,8.7,188967,118,
Notorious,1946,8.1,54112,101,
The Big Sleep,1946,8.1,48347,114,
The Best Years of Our Lives,1946,8.2,28646,172,
Gilda,1946,7.8,15449,110,
La belle et la bête,1946,8,14930,96,
Great Expectations,1946,8,14478,118,
My Darling Clementine,1946,7.8,12804,97,
The Postman Always Rings Twice,1946,7.6,11070,113,
A Matter of Life and Death,1946,8,10702,104,
The Stranger,1946,7.5,10477,95,
The Killers,1946,7.9,9901,103,
Song of the South,1946,7.4,7108,94,
Duel in the Sun,1946,6.9,5151,144,
The Strange Love of Martha Ivers,1946,7.5,4262,116,
The Blue Dahlia,1946,7.2,3937,96,
A Night in Casablanca,1946,7,3792,85,
The Yearling,1946,7.3,3508,128,
Shoeshine,1946,8,3325,93,
Paisà,1946,7.7,3303,120,
Dressed to Kill,1946,7,3183,72,
Terror by Night,1946,7,3086,60,
The Razor's Edge,1946,7.5,2910,145,
Green for Danger,1946,7.7,2580,91,
Road to Utopia,1946,7.5,2284,90,
Miracle on 34th Street,1947,7.9,23648,96,
Out of the Past,1947,8.1,17041,97,
The Lady from Shanghai,1947,7.7,13861,87,
Black Narcissus,1947,8,12460,100,
Dark Passage,1947,7.5,9296,106,
The Ghost and Mrs. Muir,1947,7.8,8889,104,
Monsieur Verdoux,1947,7.9,8694,124,
The Bishop's Wife,1947,7.6,8062,109,
Gentleman's Agreement,1947,7.4,7869,118,
The Paradine Case,1947,6.5,6105,125,
Brute Force,1947,7.7,4610,98,
Odd Man Out,1947,7.8,4510,116,
The Bachelor and the Bobby-Soxer,1947,7.3,4494,95,
Crossfire,1947,7.4,4129,86,
Kiss of Death,1947,7.5,4128,98,
Nightmare Alley,1947,7.8,4064,110,
Dead Reckoning,1947,7.1,3560,100,
Fun & Fancy Free,1947,6.8,3124,70,
Brighton Rock,1947,7.4,3019,92,
Angel and the Badman,1947,6.9,2991,100,
The Secret Life of Walter Mitty,1947,7.2,2931,110,
Quai des Orfèvres,1947,7.7,2786,106,
Life with Father,1947,7.2,2738,118,
Lady in the Lake,1947,6.6,2669,105,
Body and Soul,1947,7.8,2562,104,
Rope,1948,8.1,68805,80,
Bicycle Thieves,1948,8.4,60233,93,
The Treasure of the Sierra Madre,1948,8.4,57022,126,
Key Largo,1948,7.9,22820,100,
Red River,1948,7.8,16613,133,
The Red Shoes,1948,8.3,15281,133,
Fort Apache,1948,7.6,9573,125,
Hamlet,1948,7.9,8929,155,
Bud Abbott Lou Costello Meet Frankenstein,1948,7.5,8823,83,
Oliver Twist,1948,7.8,7131,116,
The Naked City,1948,7.7,6431,96,
Mr. Blandings Builds His Dream House,1948,7.3,6371,94,
Letter from an Unknown Woman,1948,8,5784,86,
Sorry Wrong Number,1948,7.5,5565,89,
Easter Parade,1948,7.4,5072,107,
Germania anno zero,1948,7.9,4924,78,
3 Godfathers,1948,7.1,4869,106,
Yoidore tenshi,1948,7.8,4845,98,
Call Northside 777,1948,7.4,4599,112,
The Big Clock,1948,7.7,4075,95,
The Fallen Idol,1948,7.8,4048,95,
Portrait of Jennie,1948,7.7,3848,86,
The Snake Pit,1948,7.6,3840,108,
The Three Musketeers,1948,7.2,3679,125,
A Foreign Affair,1948,7.5,3549,116,
The Third Man,1949,8.4,83106,104,
Kind Hearts and Coronets,1949,8.2,21166,106,
White Heat,1949,8.2,16185,114,
Adam's Rib,1949,7.6,13023,101,
On the Town,1949,7.7,9718,98,
She Wore a Yellow Ribbon,1949,7.4,9397,103,
Nora inu,1949,7.8,8568,122,
Twelve O'Clock High,1949,7.8,7911,132,
The Heiress,1949,8.1,7489,115,
All the King's Men,1949,7.6,7310,110,
Banshun,1949,8.1,6254,108,
Sands of Iwo Jima,1949,7.2,6008,100,
The Fountainhead,1949,7.1,5910,114,
The Adventures of Ichabod and Mr. Toad,1949,7.1,5833,68,
A Letter to Three Wives,1949,7.8,4723,103,
I Was a Male War Bride,1949,7,4633,105,
The Set-Up,1949,7.8,4617,73,
Jour de fête,1949,7.4,4251,70,
Battleground,1949,7.5,4245,118,
Little Women,1949,7.2,3693,122,
Under Capricorn,1949,6.2,3568,117,
Criss Cross,1949,7.6,3353,83,
Samson and Delilah,1949,6.8,3279,131,
Thieves' Highway,1949,7.7,2802,94,
Whisky Galore!,1949,7.4,2602,82,
Sunset Blvd.,1950,8.6,97976,110,
Rashômon,1950,8.4,71019,88,
Cinderella,1950,7.3,68038,74,
All About Eve,1950,8.4,59145,138,
Harvey,1950,8.1,38227,104,
The Asphalt Jungle,1950,7.9,14154,112,
In a Lonely Place,1950,8,12444,94,
Los olvidados,1950,8.2,10404,85,
Winchester '73,1950,7.7,9791,92,
Rio Grande,1950,7.2,7837,105,
Stage Fright,1950,7,7336,110,
D.O.A.,1950,7.4,6339,83,
Father of the Bride,1950,7.2,6306,92,
Deadly Is the Female,1950,7.8,6060,86,
Night and the City,1950,8,6026,101,
Born Yesterday,1950,7.6,5955,103,
Orphée,1950,8,5537,95,
Broken Arrow,1950,7.2,3998,93,
Panic in the Streets,1950,7.3,3995,96,
Where the Sidewalk Ends,1950,7.7,3940,95,
King Solomon's Mines,1950,6.9,3585,103,
Treasure Island,1950,7,3479,96,
Cheaper by the Dozen,1950,7,2870,86,
Strangers on a Train,1951,8.1,66515,101,
Alice in Wonderland,1951,7.4,66429,75,
A Streetcar Named Desire,1951,8,62715,122,
The Day the Earth Stood Still,1951,7.8,54661,92,
The African Queen,1951,8,49131,105,
An American in Paris,1951,7.2,16329,113,
The Thing from Another World,1951,7.3,14514,87,
Ace in the Hole,1951,8.2,13666,111,
Scrooge,1951,8.1,12377,86,
A Place in the Sun,1951,7.8,11771,122,
The Lavender Hill Mob,1951,7.8,7649,81,
Quo Vadis,1951,7.2,7472,171,
The Man in the White Suit,1951,7.5,5116,85,
Journal d'un curé de campagne,1951,7.8,5011,115,
Captain Horatio Hornblower R.N.,1951,7.4,4030,117,
When Worlds Collide,1951,6.7,4030,83,
Detective Story,1951,7.6,3787,103,
On Dangerous Ground,1951,7.4,3209,82,
Bakushû,1951,8,3183,124,
People Will Talk,1951,7.4,3148,110,
The Desert Fox: The Story of Rommel,1951,7,3143,88,
Miracolo a Milano,1951,7.8,2972,92,
The River,1951,7.6,2944,99,
Royal Wedding,1951,6.7,2936,93,
Abbott and Costello Meet the Invisible Man,1951,6.8,2896,82,
Singin' in the Rain,1952,8.4,103539,103,
High Noon,1952,8.2,58388,85,
Ikiru,1952,8.4,28086,143,
The Quiet Man,1952,8,21059,129,
Umberto D.,1952,8.2,12902,89,
Limelight,1952,8,9751,137,
The Bad and the Beautiful,1952,7.8,7830,118,
Monkey Business,1952,7,7502,97,
The Greatest Show on Earth,1952,6.7,7024,152,
Jeux interdits,1952,7.9,6659,86,
Viva Zapata!,1952,7.5,5559,113,
Ivanhoe,1952,6.9,4989,106,
Bend of the River,1952,7.3,4244,91,
The Narrow Margin,1952,7.7,3918,71,
Angel Face,1952,7.3,3648,91,
The Tragedy of Othello: The Moor of Venice,1952,7.8,3629,90,
Scaramouche,1952,7.6,3563,115,
The Crimson Pirate,1952,7.3,3503,105,
The Importance of Being Earnest,1952,7.6,3476,95,
Clash by Night,1952,7.1,3206,105,
Moulin Rouge,1952,7.2,3187,119,
Pat and Mike,1952,7,3098,95,
Road to Bali,1952,6.8,3067,91,
Don't Bother to Knock,1952,6.8,3008,76,
The Snows of Kilimanjaro,1952,6.2,2931,114,
Roman Holiday,1953,8.1,66363,118,
Peter Pan,1953,7.3,46808,77,
Stalag 17,1953,8.1,34528,120,
From Here to Eternity,1953,7.8,26352,118,
Le salaire de la peur,1953,8.3,24032,131,
Shane,1953,7.7,22647,118,
The War of the Worlds,1953,7.1,20015,85,
Tokyo Story,1953,8.2,17891,136,
Gentlemen Prefer Blondes,1953,7.2,16596,91,
The Big Heat,1953,8,12679,90,
I Confess,1953,7.3,10897,95,
How to Marry a Millionaire,1953,6.9,10568,95,
Ugetsu,1953,8.1,10439,96,
Les vacances de Monsieur Hulot,1953,7.5,9749,114,
The Wild One,1953,6.9,8822,79,
House of Wax,1953,7,8629,88,
Niagara,1953,7,8514,92,
I vitelloni,1953,8,7635,101,
Pickup on South Street,1953,7.8,7013,80,
Julius Caesar,1953,7.3,6019,120,
The Naked Spur,1953,7.4,6014,91,
The Band Wagon,1953,7.6,5923,112,
Glen or Glenda,1953,3.9,5729,65,
Sommaren med Monika,1953,7.5,5048,62,
Rear Window,1954,8.6,219926,112,
Shichinin no samurai,1954,8.8,165904,160,
On the Waterfront,1954,8.3,71062,108,
Dial M for Murder,1954,8.2,68857,105,
La strada,1954,8.1,33597,108,
Sabrina,1954,7.7,32338,113,
20000 Leagues Under the Sea,1954,7.2,17288,127,
The Caine Mutiny,1954,7.9,16516,124,
White Christmas,1954,7.5,15861,120,
Creature from the Black Lagoon,1954,6.9,12612,79,
Seven Brides for Seven Brothers,1954,7.3,12394,102,
Gojira,1954,7.4,11676,96,
Them!,1954,7.3,11565,94,
A Star Is Born,1954,7.8,8753,181,
Johnny Guitar,1954,7.6,8665,110,
Sanshô dayû,1954,8.3,7658,124,
Animal Farm,1954,7.2,7181,72,
River of No Return,1954,6.6,5714,91,
The Barefoot Contessa,1954,7,5676,130,
Vera Cruz,1954,7.1,5221,94,
The Glenn Miller Story,1954,7.2,4887,115,
Brigadoon,1954,6.9,4833,108,
Miyamoto Musashi,1954,7.6,4683,93,
The Far Country,1954,7.2,3562,97,
The High and the Mighty,1954,6.9,3507,141,
Rebel Without a Cause,1955,7.8,48651,111,
Lady and the Tramp,1955,7.4,47272,76,
The Night of the Hunter,1955,8.1,45869,93,
To Catch a Thief,1955,7.5,34252,106,
Les diaboliques,1955,8.3,27903,114,
East of Eden,1955,8,23194,115,
The Trouble with Harry,1955,7.2,19042,99,
The Seven Year Itch,1955,7.2,18985,105,
The Ladykillers,1955,7.8,16739,91,
Du rififi chez les hommes,1955,8.2,14213,122,
Killer's Kiss,1955,6.7,11869,67,
Bad Day at Black Rock,1955,7.8,11277,81,
Marty,1955,7.7,11129,90,
Kiss Me Deadly,1955,7.7,10867,106,
Mister Roberts,1955,7.8,10753,123,
Pather Panchali,1955,8.1,9499,122,
Guys and Dolls,1955,7.2,9242,150,
The Court Jester,1955,7.9,7764,101,
Ordet,1955,8,7510,126,
Oklahoma!,1955,7.2,6884,145,
Sommarnattens leende,1955,7.9,6847,108,
All That Heaven Allows,1955,7.6,6473,89,
The Dam Busters,1955,7.3,6044,105,
The Desperate Hours,1955,7.6,5425,112,
The Searchers,1956,8,49143,119,
The Killing,1956,8.1,45908,85,
The Ten Commandments,1956,7.8,36711,220,
The Man Who Knew Too Much,1956,7.5,31547,120,
Forbidden Planet,1956,7.7,26557,98,
Invasion of the Body Snatchers,1956,7.8,26107,80,
Giant,1956,7.7,20668,201,
The King and I,1956,7.5,15197,133,
The Wrong Man,1956,7.5,13932,105,
Around the World in Eighty Days,1956,6.8,12794,167,
Moby Dick,1956,7.4,10753,116,
Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,8.1,8260,99,
High Society,1956,6.9,8077,111,
The Bad Seed,1956,7.4,7309,129,
Bus Stop,1956,6.7,6341,96,
Written on the Wind,1956,7.5,5865,99,
Bob le flambeur,1956,7.8,5693,98,
Lust for Life,1956,7.4,5536,122,
War and Peace,1956,6.8,5263,208,
Aparajito,1956,8,4821,110,
Anastasia,1956,7.1,4543,105,
Somebody Up There Likes Me,1956,7.5,4493,113,
Et Dieu... créa la femme,1956,6.3,4036,95,
Earth vs. the Flying Saucers,1956,6.3,3936,83,
12 Angry Men,1957,8.9,276748,96,
The Bridge on the River Kwai,1957,8.3,105743,161,
Paths of Glory,1957,8.5,81368,88,
