Age,Gender,NumberOfChildren,CountryOfResidence,LanguageAtHome,HoursSpentLearningToCode,Income,StudentDebtOwe,IsSoftwareDev,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,YearsSpentLearningToCode,LearningViaBooks,LearningViaCoursera
24,female,NA,Portugal,Portuguese,4,16500,NA,True,NA,0,19,1.583333333,NA,1
25,female,NA,United States of America,Mandarin Chinese,10,75000,NA,False,NA,50,1,0.08333333333,NA,1
27,male,NA,United States of America,English,15,NA,NA,False,NA,NA,6,0.5,NA,NA
27,female,NA,United States of America,English,16,NA,40000,True,NA,400,72,6,NA,1
24,male,NA,United States of America,English,5,50000,40000,False,NA,0,3,0.25,NA,NA
34,male,NA,United States of America,English,15,40000,27000,False,NA,400,4,0.3333333333,NA,NA
25,female,NA,United States of America,English,5,37000,NA,False,NA,500,24,2,NA,1
31,male,NA,United States of America,English,10,110000,NA,True,married or domestic partnership,500,48,4,NA,1
20,male,NA,United States of America,English,20,16000,NA,True,NA,2000,120,10,NA,1
32,male,NA,Germany,English,40,NA,30000,False,NA,100,2,0.1666666667,NA,NA
27,male,NA,United Kingdom,English,7,30000,NA,False,NA,150,12,1,NA,1
32,male,NA,United Kingdom,English,15,23000,30000,False,NA,50,3,0.25,NA,NA
32,female,NA,United States of America,Yue (Cantonese) Chinese,20,94000,NA,False,NA,1000,9,0.75,NA,NA
16,male,NA,United States of America,English,6,NA,NA,False,NA,0,6,0.5,NA,1
19,male,NA,Canada,English,20,10000,20000,True,NA,0,30,2.5,NA,NA
22,male,NA,United States of America,English,20,NA,NA,True,NA,100,36,3,NA,NA
19,male,NA,United Kingdom,English,20,18000,NA,True,NA,100,12,1,NA,1
24,male,NA,United States of America,French,25,NA,NA,False,NA,100,3,0.25,NA,1
26,male,NA,United States of America,English,10,30000,5000,False,"single, never married",500,2,0.1666666667,NA,NA
38,female,NA,United States of America,English,40,NA,8000,False,NA,200,36,3,NA,NA
28,male,NA,United States of America,English,3,60000,NA,False,NA,0,6,0.5,NA,1
32,male,NA,United States of America,Yue (Cantonese) Chinese,20,67000,NA,False,NA,8000,6,0.5,NA,1
35,male,NA,United States of America,English,25,50000,NA,False,NA,0,4,0.3333333333,NA,1
16,male,NA,United States of America,English,7,NA,NA,False,NA,0,3,0.25,NA,NA
23,male,NA,United States of America,English,40,NA,7000,False,NA,100,5,0.4166666667,NA,NA
26,male,NA,United States of America,English,10,40000,80000,True,married or domestic partnership,6000,8,0.6666666667,NA,1
25,male,NA,"Netherlands (Holland, Europe)",Dutch,40,30000,27000,True,NA,0,3,0.25,NA,NA
25,male,NA,United States of America,English,10,40000,20000,False,married or domestic partnership,50,1,0.08333333333,NA,NA
34,male,NA,United States of America,English,2,45000,NA,False,NA,250,36,3,NA,NA
31,male,NA,United States of America,Hindi,10,34000,NA,False,NA,25,3,0.25,NA,NA
19,male,NA,United States of America,English,25,10000,NA,True,NA,40,36,3,NA,1
22,male,NA,Pakistan,Urdu,2,NA,NA,False,"single, never married",0,1,0.08333333333,NA,1
NA,NA,NA,NA,NA,4,NA,NA,True,NA,0,72,6,NA,1
30,male,NA,United States of America,English,10,37000,NA,True,married or domestic partnership,500,120,10,NA,NA
25,male,NA,United States of America,English,30,NA,NA,False,NA,0,10,0.8333333333,NA,NA
15,female,NA,United States of America,English,10,NA,NA,False,NA,0,1,0.08333333333,NA,NA
26,female,NA,United States of America,Spanish,5,19000,11400,False,NA,0,14,1.166666667,NA,NA
24,male,NA,Australia,Nepali,NA,NA,NA,False,NA,400,4,0.3333333333,NA,1
31,female,NA,Korea South,French,100,35000,NA,False,NA,0,24,2,NA,1
28,male,NA,Canada,English,1,70000,NA,False,NA,0,4,0.3333333333,NA,NA
32,male,NA,United States of America,English,4,20000,40000,True,NA,250,32,2.666666667,NA,NA
23,male,NA,Canada,French,30,NA,30000,False,NA,0,30,2.5,NA,NA
16,male,NA,"Netherlands (Holland, Europe)",Dutch,5,NA,NA,False,NA,0,1,0.08333333333,NA,1
29,female,NA,United States of America,English,40,35000,20000,False,NA,500,24,2,NA,1
43,male,NA,Austria,Greek,10,NA,NA,False,NA,0,2,0.1666666667,NA,NA
25,male,NA,Canada,English,3,30000,15000,True,NA,150,60,5,NA,NA
35,male,NA,United States of America,English,20,135000,NA,True,NA,0,3,0.25,NA,NA
33,female,NA,United States of America,English,3,NA,NA,False,NA,0,6,0.5,NA,NA
18,female,NA,Canada,English,6,NA,NA,False,NA,0,1,0.08333333333,NA,NA
21,male,NA,United States of America,English,30,NA,NA,False,NA,0,4,0.3333333333,NA,1
24,male,NA,Australia,Pashto,15,35000,30000,True,NA,0,3,0.25,NA,NA
20,male,NA,India,Marathi,12,NA,NA,False,NA,0,7,0.5833333333,NA,1
25,female,NA,United Kingdom,English,15,26000,50000,False,NA,30,8,0.6666666667,NA,NA
24,female,NA,United States of America,English,15,NA,NA,False,NA,0,2,0.1666666667,NA,NA
27,male,NA,United States of America,English,20,16000,70000,False,NA,120,9,0.75,NA,1
24,male,NA,Belgium,Dutch,25,NA,NA,False,NA,0,1,0.08333333333,NA,NA
22,male,NA,United States of America,Portuguese,10,NA,NA,False,NA,0,9,0.75,NA,NA
32,male,NA,United States of America,English,6,45000,NA,True,married or domestic partnership,0,48,4,NA,NA
28,male,NA,Canada,English,4,NA,NA,False,NA,100,1,0.08333333333,NA,NA
31,male,NA,United States of America,English,50,7000,34000,False,NA,500,13,1.083333333,NA,1
22,male,NA,United States of America,English,20,NA,NA,False,NA,10,2,0.1666666667,NA,NA
36,female,NA,United States of America,English,20,NA,150000,False,NA,300,14,1.166666667,NA,NA
27,male,NA,United Kingdom,English,10,NA,NA,False,NA,100,6,0.5,NA,NA
26,male,NA,Republic of Montenegro,Serbo-Croatian,20,6000,NA,False,NA,0,6,0.5,NA,1
30,male,NA,United States of America,English,20,NA,NA,False,NA,0,14,1.166666667,NA,NA
26,male,NA,Bolivia,Spanish,18,NA,NA,False,NA,300,6,0.5,NA,1
14,male,NA,United States of America,English,2,NA,NA,False,NA,0,12,1,NA,NA
34,female,NA,United States of America,English,6,76000,NA,False,NA,200,3,0.25,NA,1
24,male,NA,Senegal,French,5,NA,NA,False,NA,40,2,0.1666666667,NA,NA
34,female,NA,United States of America,English,2,NA,NA,False,NA,0,2,0.1666666667,NA,NA
29,male,NA,United States of America,English,10,35000,NA,False,NA,30,3,0.25,NA,NA
50,male,NA,United States of America,English,10,40000,NA,False,NA,600,11,0.9166666667,NA,1
19,male,NA,United Kingdom,English,3,NA,NA,False,NA,100,24,2,NA,NA
32,male,NA,United States of America,English,10,46000,NA,False,NA,250,3,0.25,NA,1
22,male,NA,Ireland,English,25,NA,NA,False,NA,0,43,3.583333333,NA,NA
26,female,NA,United States of America,English,10,NA,NA,False,NA,399,0,0,NA,NA
30,male,NA,United States of America,English,20,40000,74000,False,NA,200,3,0.25,1,NA
26,female,NA,United States of America,English,30,NA,NA,False,NA,12000,28,2.333333333,NA,1
27,male,NA,Romania,Russian,56,NA,NA,True,NA,1900,12,1,NA,1
30,male,NA,United States of America,English,0,10000,160000,True,married or domestic partnership,3000,13,1.083333333,NA,NA
40,female,NA,Canada,English,20,75000,NA,False,married or domestic partnership,0,2,0.1666666667,NA,NA
22,male,NA,New Zealand,English,10,46000,22612,True,NA,300,30,2.5,NA,1
32,male,NA,Canada,English,40,NA,NA,False,NA,8000,14,1.166666667,NA,NA
28,male,NA,Cambodia,Khmer,14,NA,NA,True,married or domestic partnership,200,4,0.3333333333,NA,1
26,male,NA,United Kingdom,English,25,50000,40000,False,NA,50,5,0.4166666667,NA,NA
29,male,NA,United States of America,English,10,60000,115000,False,NA,500,6,0.5,NA,NA
31,female,NA,Canada,English,4,28000,12000,False,NA,0,4,0.3333333333,NA,NA
21,male,NA,Algeria,Arabic,14,NA,NA,False,NA,0,1,0.08333333333,NA,NA
29,female,NA,United States of America,English,15,25000,NA,False,NA,200,24,2,NA,NA
26,female,NA,United States of America,English,5,NA,30000,False,NA,50,2,0.1666666667,NA,1
19,female,NA,United States of America,Yue (Cantonese) Chinese,15,NA,NA,False,NA,0,36,3,NA,NA
25,male,NA,Ireland,English,12,NA,15000,False,NA,NA,2,0.1666666667,NA,NA
31,male,NA,United States of America,English,5,45000,30000,False,NA,300,12,1,NA,NA
37,male,NA,United States of America,English,40,NA,NA,False,NA,500,6,0.5,NA,1
27,male,NA,United States of America,English,NA,NA,NA,False,NA,0,2,0.1666666667,NA,NA
19,male,NA,United States of America,Tamil,7,NA,NA,False,NA,50,10,0.8333333333,NA,1
50,female,NA,United States of America,English,20,NA,NA,False,NA,500,36,3,NA,1
24,male,NA,United States of America,English,40,20000,20000,False,NA,200,5,0.4166666667,NA,NA
31,female,NA,Canada,French,4,35000,NA,False,NA,100,24,2,NA,1
24,female,NA,Canada,English,60,NA,NA,False,NA,5500,2,0.1666666667,NA,NA
30,female,NA,United States of America,English,30,NA,NA,False,NA,0,12,1,NA,1
49,male,NA,United States of America,English,15,90000,NA,True,married or domestic partnership,6000,15,1.25,NA,NA
45,male,NA,United States of America,English,40,NA,5000,False,NA,0,NA,#VALUE!,NA,NA
20,male,NA,United States of America,Urdu,42,NA,NA,False,NA,200,4,0.3333333333,NA,NA
21,male,NA,Russia,Russian,20,NA,NA,False,NA,0,12,1,NA,1
36,male,NA,Mexico,Spanish,3,20000,NA,False,married or domestic partnership,2000,60,5,NA,1
51,female,NA,United States of America,English,10,125000,NA,False,NA,0,4,0.3333333333,NA,NA
22,male,NA,United States of America,English,15,NA,2000,False,NA,0,10,0.8333333333,NA,1
30,male,NA,United Kingdom,Bengali,6,40000,18000,False,NA,200,3,0.25,NA,NA
32,male,NA,United States of America,English,30,NA,NA,False,married or domestic partnership,4000,16,1.333333333,NA,NA
26,male,NA,Israel,Russian,30,36000,NA,True,"single, never married",400,36,3,NA,NA
31,female,NA,United States of America,Yue (Cantonese) Chinese,5,50000,NA,False,NA,250,4,0.3333333333,NA,NA
31,male,NA,United States of America,English,4,13000,8000,False,NA,100,4,0.3333333333,NA,NA
23,male,NA,United Kingdom,English,20,20000,32000,False,NA,0,1,0.08333333333,NA,NA
25,male,NA,Mexico,Spanish,40,NA,NA,False,NA,2500,6,0.5,NA,NA
26,male,NA,United States of America,English,15,29000,1000,False,NA,300,16,1.333333333,NA,NA
28,male,NA,Peru,Spanish,8,20000,NA,False,"single, never married",0,1,0.08333333333,NA,1
17,male,NA,Australia,English,10,NA,NA,False,NA,35,36,3,NA,NA
17,male,NA,Colombia,Spanish,24,NA,NA,False,NA,0,1,0.08333333333,NA,1
26,male,NA,United States of America,English,10,13500,NA,False,NA,300,6,0.5,NA,NA
30,male,NA,Canada,English,4,25000,20000,True,NA,5000,42,3.5,NA,1
32,male,NA,United States of America,English,4,50000,NA,False,NA,400,3,0.25,NA,1
31,male,NA,Hong Kong,English,15,105000,NA,False,NA,200,40,3.333333333,NA,1
20,male,NA,United States of America,English,8,10000,NA,False,NA,0,1,0.08333333333,NA,NA
28,male,NA,United States of America,English,5,NA,NA,False,NA,0,24,2,NA,NA
21,male,NA,Ukraine,Russian,NA,NA,NA,False,NA,0,40,3.333333333,NA,NA
31,male,NA,United States of America,English,12,45000,98000,False,NA,500,8,0.6666666667,NA,NA
25,male,NA,United States of America,English,5,NA,30000,False,NA,0,24,2,NA,NA
30,male,NA,Poland,Polish,10,30000,NA,True,NA,100,24,2,NA,1
28,male,NA,Mexico,Spanish,8,NA,NA,False,NA,0,36,3,NA,1
25,female,NA,United States of America,English,20,NA,17000,True,NA,300,4,0.3333333333,NA,NA
32,female,NA,Korea South,English,10,36000,30000,False,NA,100,4,0.3333333333,NA,1
33,male,NA,Canada,English,30,NA,35000,False,NA,1000,24,2,NA,NA
52,male,NA,United States of America,English,30,45000,25000,True,NA,25000,24,2,NA,NA
31,female,NA,United States of America,English,30,NA,NA,False,NA,500,1,0.08333333333,NA,NA
50,male,NA,United States of America,English,4,90000,NA,False,married or domestic partnership,50,12,1,NA,NA
28,male,NA,Canada,English,20,45000,NA,False,"single, never married",500,14,1.166666667,NA,NA
31,male,NA,United States of America,English,20,40000,40000,True,married or domestic partnership,0,18,1.5,NA,NA
20,male,NA,Israel,English,NA,NA,NA,False,NA,NA,NA,#VALUE!,NA,NA
24,male,NA,United States of America,English,5,32000,1500,False,married or domestic partnership,60,36,3,1,NA
22,male,NA,Australia,English,15,NA,6000,False,NA,130,5,0.4166666667,NA,NA
29,female,NA,United States of America,English,15,33000,11000,False,"single, never married",300,18,1.5,NA,NA
26,male,NA,Colombia,Spanish,20,NA,NA,True,NA,0,48,4,NA,1
25,male,NA,United States of America,English,12,8000,NA,False,NA,200,6,0.5,NA,1
40,male,NA,Chile,English,20,NA,NA,False,NA,0,8,0.6666666667,NA,1
30,male,NA,United States of America,English,50,NA,NA,False,NA,300,3,0.25,NA,NA
24,female,NA,United States of America,Yue (Cantonese) Chinese,1,30000,NA,False,NA,1200,3,0.25,NA,NA
24,male,NA,United Kingdom,English,20,NA,NA,False,NA,100,2,0.1666666667,NA,NA
31,female,NA,United States of America,English,7,21000,73000,False,NA,500,8,0.6666666667,NA,1
16,male,NA,United States of America,English,32,NA,NA,False,NA,150,12,1,NA,NA
22,male,NA,United States of America,English,20,15000,15000,True,NA,50,48,4,NA,NA
16,male,NA,United States of America,English,0,NA,NA,False,NA,0,8,0.6666666667,NA,NA
23,female,NA,United States of America,English,25,35000,NA,False,NA,5000,2,0.1666666667,NA,NA
34,male,NA,Colombia,Spanish,15,12000,10000,True,NA,200,NA,#VALUE!,NA,NA
36,male,NA,United States of America,Spanish,20,NA,NA,False,NA,250,3,0.25,NA,1
33,male,NA,United States of America,English,10,45000,100000,False,NA,500,12,1,NA,NA
29,male,NA,United States of America,English,5,32000,13000,True,NA,0,12,1,NA,NA
22,female,NA,United States of America,English,8,NA,18000,False,NA,500,24,2,NA,1
22,female,NA,Canada,French,2,NA,NA,False,NA,0,1,0.08333333333,NA,NA
24,male,NA,United States of America,Telugu,NA,NA,40000,False,NA,300,100,8.333333333,NA,NA
38,male,NA,United States of America,Spanish,5,NA,NA,True,NA,9000,18,1.5,NA,1
35,male,NA,United States of America,English,10,54000,15000,True,NA,15000,12,1,NA,NA
17,male,NA,United States of America,English,20,NA,NA,False,NA,60,6,0.5,NA,NA
20,female,NA,Mexico,Spanish,5,NA,NA,False,NA,40,48,4,NA,NA
29,female,NA,United States of America,English,8,10000,NA,True,NA,200,15,1.25,NA,1
46,male,NA,"Netherlands (Holland, Europe)",English,20,100000,NA,True,married or domestic partnership,4000,160,13.33333333,NA,NA
25,male,NA,United States of America,English,5,31000,NA,False,NA,0,6,0.5,NA,NA
32,male,NA,New Zealand,Portuguese,25,20000,NA,False,NA,3000,12,1,NA,1
56,male,NA,United States of America,English,40,18000,NA,True,NA,1000,22,1.833333333,NA,NA
23,male,NA,United States of America,English,40,NA,NA,True,NA,NA,12,1,NA,NA
19,male,NA,Germany,Russian,15,36000,NA,True,NA,120,48,4,NA,1
23,male,NA,United Kingdom,English,30,NA,21500,False,NA,30,8,0.6666666667,NA,NA
40,female,NA,Canada,English,3,50800,NA,False,NA,100,6,0.5,NA,1
25,male,NA,United States of America,English,10,9000,12000,True,NA,40,36,3,NA,1
19,male,NA,Canada,English,10,NA,NA,False,NA,0,80,6.666666667,NA,1
24,male,NA,United States of America,English,45,NA,5000,False,NA,0,36,3,NA,1
22,female,NA,United States of America,English,10,45000,NA,False,NA,0,24,2,NA,NA
20,male,NA,United States of America,English,NA,NA,NA,False,NA,50,NA,#VALUE!,NA,1
26,male,NA,Estonia,English,25,NA,NA,False,NA,500,8,0.6666666667,NA,1
28,male,NA,United States of America,English,10,40000,40000,False,NA,0,12,1,NA,NA
35,male,NA,Bangladesh,Bengali,10,NA,NA,False,"single, never married",450,6,0.5,NA,NA
44,female,NA,United States of America,English,20,43000,100000,False,NA,200,3,0.25,NA,1
30,female,NA,United States of America,English,1,NA,NA,False,NA,200,8,0.6666666667,NA,NA
33,male,NA,United States of America,English,14,84000,NA,True,NA,600,96,8,NA,NA
19,male,NA,United States of America,English,5,NA,NA,False,NA,25,60,5,NA,NA
31,male,NA,Angola,Portuguese,1,NA,NA,False,NA,0,5,0.4166666667,NA,NA
28,male,NA,Kazakhstan,Russian,40,8000,NA,False,"single, never married",0,8,0.6666666667,NA,1
27,female,NA,Singapore,Mandarin Chinese,1,30000,NA,True,"single, never married",0,121,10.08333333,NA,NA
25,male,NA,United States of America,English,8,NA,NA,False,NA,0,3,0.25,NA,NA
19,male,NA,NA,Urdu,3,NA,NA,False,NA,0,24,2,NA,NA
31,genderqueer,NA,United States of America,English,20,35000,12000,False,NA,3000,6,0.5,NA,NA
22,male,NA,United States of America,Spanish,30,NA,NA,False,NA,7000,6,0.5,NA,NA
23,male,NA,United States of America,English,15,NA,NA,False,NA,0,10,0.8333333333,NA,1
30,female,NA,NA,English,NA,49500,NA,False,NA,NA,NA,#VALUE!,NA,NA
27,male,NA,United States of America,English,30,NA,8000,False,NA,1000,24,2,NA,NA
36,male,NA,Germany,German,3,39000,6000,True,NA,500,30,2.5,NA,NA
42,female,NA,United States of America,English,20,20000,NA,False,NA,0,3,0.25,NA,NA
22,male,NA,Slovakia,NA,0,NA,NA,False,NA,0,12,1,NA,NA
37,male,NA,New Zealand,English,20,NA,NA,False,NA,500,2,0.1666666667,NA,NA
20,male,NA,Serbia,Serbo-Croatian,30,NA,NA,False,NA,0,36,3,NA,NA
30,female,NA,United States of America,English,20,35000,NA,False,NA,4500,5,0.4166666667,NA,NA
50,male,NA,United States of America,English,30,85000,NA,False,NA,1500,72,6,NA,1
32,male,NA,United States of America,English,16,49000,NA,False,NA,0,3,0.25,NA,NA
65,male,NA,United States of America,English,2,NA,NA,False,NA,300,200,16.66666667,NA,NA
31,male,NA,Canada,English,12,NA,NA,False,NA,0,2,0.1666666667,NA,NA
23,male,NA,United States of America,English,10,7000,NA,True,NA,0,55,4.583333333,NA,NA
16,male,NA,United States of America,English,8,NA,NA,False,NA,0,6,0.5,NA,NA
39,male,NA,Hong Kong,Yue (Cantonese) Chinese,3,NA,NA,False,married or domestic partnership,400,10,0.8333333333,NA,1
19,male,NA,United States of America,English,21,NA,NA,False,NA,0,10,0.8333333333,NA,NA
21,male,NA,Pakistan,Urdu,10,NA,NA,False,NA,0,24,2,NA,NA
28,male,NA,United States of America,English,8,30000,NA,False,NA,250,120,10,NA,NA
33,male,NA,Colombia,Spanish,10,NA,NA,False,NA,500,48,4,NA,1
30,male,NA,Australia,English,2,55000,20000,False,NA,40,1,0.08333333333,NA,NA
20,male,NA,Morocco,Arabic,30,NA,NA,False,NA,600,4,0.3333333333,NA,NA
24,female,NA,United States of America,English,2,32000,NA,True,NA,0,30,2.5,NA,NA
27,female,NA,United States of America,English,30,NA,NA,False,NA,100,6,0.5,NA,1
19,male,NA,United States of America,English,5,8500,NA,False,NA,60,9,0.75,NA,NA
26,male,NA,United States of America,English,10,24000,NA,False,married or domestic partnership,500,24,2,NA,NA
35,male,NA,United States of America,English,10,NA,NA,False,NA,0,350,29.16666667,NA,1
32,male,NA,Denmark,English,8,NA,NA,False,NA,0,1,0.08333333333,NA,NA
26,male,NA,Serbia,Serbo-Croatian,8,NA,NA,False,NA,100,12,1,NA,NA
23,male,NA,Slovakia,NA,4,NA,NA,False,NA,50,12,1,NA,1
24,male,NA,Chile,Spanish,7,NA,6500,False,NA,0,1,0.08333333333,NA,1
24,male,NA,Australia,English,10,22000,15000,False,NA,100,36,3,NA,NA
38,male,NA,"Netherlands (Holland, Europe)",Dutch,35,NA,6000,False,NA,0,5,0.4166666667,NA,NA
28,female,NA,United States of America,English,5,60000,20000,False,NA,0,36,3,NA,1
25,male,NA,Guatemala,Spanish,12,10000,NA,False,NA,250,9,0.75,NA,1
29,genderqueer,NA,United States of America,English,2,18000,30000,False,NA,0,3,0.25,NA,1
20,male,NA,NA,NA,14,NA,NA,False,NA,0,4,0.3333333333,NA,1
35,female,NA,United States of America,English,5,NA,30000,False,NA,1500,12,1,NA,NA
28,female,NA,United States of America,English,100,NA,40000,False,NA,100,3,0.25,NA,1
28,female,NA,Australia,Punjabi,30,NA,NA,False,NA,0,1,0.08333333333,NA,NA
26,male,NA,United States of America,Italian,10,110000,NA,True,NA,500,48,4,NA,NA
23,female,NA,United States of America,English,4,NA,NA,False,NA,90,12,1,NA,1
25,male,NA,United States of America,English,NA,NA,3000,False,NA,0,6,0.5,NA,NA
30,female,NA,United States of America,English,12,NA,NA,False,NA,0,1,0.08333333333,NA,NA
22,male,NA,India,Telugu,30,NA,NA,False,NA,100,48,4,NA,1
24,male,NA,United States of America,English,2,27000,NA,False,NA,25,12,1,NA,NA
27,male,NA,United States of America,English,5,NA,40000,False,NA,50,3,0.25,NA,NA
28,male,NA,Canada,English,25,20000,NA,False,NA,6000,24,2,NA,NA
20,male,NA,NA,Portuguese,6,NA,NA,False,NA,0,12,1,NA,NA
26,male,NA,Guatemala,Spanish,15,10000,NA,True,NA,100,4,0.3333333333,NA,1
29,male,NA,United States of America,English,1,45000,NA,False,married or domestic partnership,200,0,0,NA,NA
28,male,NA,United States of America,English,15,NA,NA,False,NA,25,1,0.08333333333,NA,NA
23,male,NA,Poland,Polish,10,NA,NA,True,NA,60,84,7,NA,1
34,female,NA,United States of America,English,6,NA,7500,False,NA,NA,6,0.5,NA,NA
30,male,NA,United States of America,English,10,NA,128000,True,NA,1000,144,12,NA,NA
26,male,NA,Kazakhstan,Kazakh,6,NA,NA,False,NA,100,6,0.5,NA,1
27,male,NA,United States of America,English,NA,32000,NA,False,NA,0,NA,#VALUE!,NA,1
20,male,NA,United States of America,English,10,NA,NA,False,NA,20,7,0.5833333333,NA,NA
18,male,NA,Macedonia,NA,12,NA,NA,True,NA,200,4,0.3333333333,NA,NA
14,male,NA,United States of America,English,4,NA,NA,False,NA,0,52,4.333333333,NA,NA
25,male,NA,Canada,English,3,30000,NA,False,NA,0,4,0.3333333333,NA,NA
36,male,NA,Brazil,Portuguese,45,NA,NA,False,NA,1000,12,1,NA,1
25,female,NA,NA,English,10,NA,NA,False,NA,200,1,0.08333333333,NA,1
28,male,NA,Singapore,Tamil,20,25000,75000,False,NA,5000,6,0.5,NA,1
22,male,NA,United States of America,Telugu,10,NA,36000,True,NA,100,60,5,NA,1
24,female,NA,United States of America,English,14,26000,18000,False,NA,100,7,0.5833333333,NA,NA
22,male,NA,Ukraine,Russian,20,NA,NA,True,NA,500,40,3.333333333,NA,1
26,male,NA,United States of America,English,6,70000,NA,True,NA,0,144,12,NA,NA
